rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
320,39938/carson-city,Carson City,2,5,90,90,90,7.29154,7.024,5978,https://cf.geekdo-images.com/images/pic577030.jpg,12,"Area Control / Area Influence, Dice Rolling, Tile Placement, Worker Placement",5254,"American West, City Building, Economic",3.1836
321,155703/evolution,Evolution,2,6,60,60,60,7.2486,7.02393,8625,https://cf.geekdo-images.com/images/pic3543505.jpg,12,"Hand Management, Simultaneous Action Selection, Take That",12259,"Animals, Card Game, Environmental, Prehistoric, Print & Play",2.4568
322,9674/ingenious,Ingenious,1,4,45,45,45,7.15892,7.02365,13507,https://cf.geekdo-images.com/images/pic1473656.jpg,10,"Hand Management, Partnerships, Pattern Building, Tile Placement",15258,Abstract Strategy,1.9234
323,3307/wallenstein-first-edition,Wallenstein (first edition),3,5,150,150,150,7.51707,7.02193,3339,https://cf.geekdo-images.com/images/pic358092.jpg,12,"Action / Movement Programming, Action Point Allowance System, Area Control / Area Influence, Area Movement, Simultaneous Action Selection, Variable Phase Order",2678,"Economic, Renaissance, Territory Building",3.3142
324,140603/francis-drake,Francis Drake,3,5,120,90,120,7.48836,7.0207,3487,https://cf.geekdo-images.com/images/pic1616979.jpg,14,"Dice Rolling, Press Your Luck, Secret Unit Deployment, Set Collection, Worker Placement",4695,"Bluffing, Exploration, Nautical, Pirates, Renaissance",2.9242
325,15363/nexus-ops,Nexus Ops,2,4,90,90,90,7.2483,7.01889,7835,https://cf.geekdo-images.com/images/pic1134615.jpg,12,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board",10174,"Exploration, Fighting, Science Fiction, Wargame",2.2241
326,199042/harry-potter-hogwarts-battle,Harry Potter: Hogwarts Battle,2,4,60,30,60,7.60554,7.01844,3680,https://cf.geekdo-images.com/images/pic3518231.jpg,11,"Co-operative Play, Deck / Pool Building, Variable Player Powers",8176,"Card Game, Movies / TV / Radio theme, Novel-based",2.0617
327,18/roborally,RoboRally,2,8,120,45,120,7.12982,7.01518,20203,https://cf.geekdo-images.com/images/pic1000553.jpg,12,"Action / Movement Programming, Grid Movement, Modular Board, Simultaneous Action Selection",23505,"Maze, Miniatures, Racing, Science Fiction",2.4339
328,192836/colonists,The Colonists,1,4,360,30,360,7.8699,7.01385,1986,https://cf.geekdo-images.com/images/pic3195482.jpg,12,"Area Movement, Card Drafting, Hand Management, Modular Board, Tile Placement, Worker Placement",3862,Civilization,4.0543
329,1513/republic-rome,The Republic of Rome,1,6,300,300,300,7.54443,7.01363,3502,https://cf.geekdo-images.com/images/pic487045.jpg,14,"Dice Rolling, Hand Management, Simulation, Variable Player Powers, Voting",5296,"Ancient, Negotiation, Political, Wargame",4.3002
330,133473/sushi-go,Sushi Go!,2,5,15,15,15,7.1265,7.01325,21335,https://cf.geekdo-images.com/images/pic1900075.jpg,8,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection",36652,Card Game,1.17
331,22827/starcraft-board-game,StarCraft: The Board Game,2,6,240,180,240,7.34288,7.01258,6315,https://cf.geekdo-images.com/images/pic265704.jpg,12,"Area Control / Area Influence, Area Movement, Deck / Pool Building, Modular Board, Variable Player Powers",7715,"Civilization, Fighting, Miniatures, Science Fiction, Space Exploration, Territory Building, Video Game Theme, Wargame",3.8236
332,42776/gears-war-board-game,Gears of War: The Board Game,1,4,180,60,180,7.48445,7.01133,4012,https://cf.geekdo-images.com/images/pic1004112.jpg,13,"Area Movement, Campaign / Battle Card Driven, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Variable Player Powers",6470,"Fighting, Miniatures, Science Fiction, Video Game Theme",2.8763
333,31999/tzaar,TZAAR,2,2,60,30,60,7.68264,7.00993,2371,https://cf.geekdo-images.com/images/pic3607816.jpg,13,Grid Movement,3571,Abstract Strategy,2.5486
334,192457/cry-havoc,Cry Havoc,2,4,120,60,120,7.48854,7.00959,3738,https://cf.geekdo-images.com/images/pic3090929.jpg,10,"Area Control / Area Influence, Area Movement, Deck / Pool Building, Hand Management, Variable Player Powers",6480,"Fighting, Miniatures, Science Fiction, Wargame",3.2059
335,2346/dvonn,DVONN,2,2,30,30,30,7.44092,7.00636,3791,https://cf.geekdo-images.com/images/pic3324136.jpg,9,Grid Movement,4869,Abstract Strategy,2.6836
336,159508/aquasphere,AquaSphere,2,4,100,100,100,7.34571,7.00351,4774,https://cf.geekdo-images.com/images/pic2197124.jpg,12,"Area Control / Area Influence, Area Movement, Modular Board",8029,"Nautical, Science Fiction",3.6986
337,192135/too-many-bones,Too Many Bones,1,4,120,60,120,8.62357,7.00311,1249,https://cf.geekdo-images.com/images/pic3684814.jpg,12,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management, Role Playing, Variable Player Powers",2134,"Adventure, Dice, Fantasy, Wargame",3.8182
338,21790/thurn-and-taxis,Thurn and Taxis,2,4,60,60,60,7.12287,7.00213,15746,https://cf.geekdo-images.com/images/pic115300.jpg,13,"Card Drafting, Hand Management, Route/Network Building, Set Collection",17444,"Renaissance, Transportation",2.2635
339,134726/smash-awesome-level-9000,Smash Up: Awesome Level 9000,2,2,45,45,45,7.35299,7.00171,5462,https://cf.geekdo-images.com/images/pic1497102.jpg,12,"Area Control / Area Influence, Hand Management, Take That, Variable Player Powers",14555,"Card Game, Fantasy, Horror, Humor, Pirates, Prehistoric, Science Fiction, Spies/Secret Agents",2.1265
340,160010/conan,Conan,2,5,90,90,90,7.94643,7.00143,2357,https://cf.geekdo-images.com/images/pic3118623.jpg,14,"Action Point Allowance System, Area Movement, Dice Rolling, Partnerships, Player Elimination, Variable Phase Order, Variable Player Powers",5316,"Adventure, Fantasy, Fighting, Miniatures, Novel-based",2.8
341,119432/snowdonia,Snowdonia,1,5,90,30,90,7.45889,7.0002,3469,https://cf.geekdo-images.com/images/pic1430858.jpg,10,"Card Drafting, Hand Management, Worker Placement",4219,Trains,3.0119
342,181521/warhammer-quest-adventure-card-game,Warhammer Quest: The Adventure Card Game,1,4,60,30,60,7.53606,6.99911,3592,https://cf.geekdo-images.com/images/pic2625794.jpg,14,"Co-operative Play, Dice Rolling, Role Playing, Variable Player Powers",7561,"Adventure, Card Game, Fantasy",2.7297
343,20437/lords-vegas,Lords of Vegas,2,4,60,60,60,7.33101,6.99751,4947,https://cf.geekdo-images.com/images/pic774410.jpg,12,"Area Control / Area Influence, Dice Rolling, Tile Placement, Trading",6681,"City Building, Dice, Economic",2.3487
344,191862/imhotep,Imhotep,2,4,40,40,40,7.29058,6.99713,5856,https://cf.geekdo-images.com/images/pic3029488.jpg,10,"Area Control / Area Influence, Modular Board, Set Collection",8472,Ancient,2.0246
345,27746/colosseum,Colosseum,3,5,90,60,90,7.22657,6.99327,7411,https://cf.geekdo-images.com/images/pic2729904.jpg,10,"Auction/Bidding, Dice Rolling, Roll / Spin and Move, Set Collection, Trading",8275,"Ancient, Negotiation",2.7543
346,177639/raptor,Raptor,2,2,25,25,25,7.46626,6.99326,3556,https://cf.geekdo-images.com/images/pic2520016.jpg,9,"Action Point Allowance System, Grid Movement, Hand Management, Modular Board, Simultaneous Action Selection, Take That, Variable Player Powers",5893,"Animals, Fighting, Science Fiction",2
347,121288/dixit-journey,Dixit: Journey,3,6,30,30,30,7.47364,6.99241,3603,https://cf.geekdo-images.com/images/pic1387599.jpg,8,"Acting, Simultaneous Action Selection, Singing, Storytelling, Voting",6670,"Card Game, Humor, Party Game",1.3115
348,50750/belfort,Belfort,2,5,120,120,120,7.30753,6.99231,5176,https://cf.geekdo-images.com/images/pic1368514.jpg,12,"Area Control / Area Influence, Card Drafting, Hand Management, Worker Placement",6063,"City Building, Economic, Fantasy",3.0483
349,140934/arboretum,Arboretum,2,4,30,30,30,7.35791,6.98975,4468,https://cf.geekdo-images.com/images/pic1926202.jpg,8,"Hand Management, Set Collection, Tile Placement",6442,Card Game,2.1796
350,65532/defenders-realm,Defenders of the Realm,1,4,90,90,90,7.36459,6.98637,4770,https://cf.geekdo-images.com/images/pic649329.jpg,13,"Action Point Allowance System, Co-operative Play, Dice Rolling, Hand Management, Point to Point Movement, Variable Player Powers",6247,"Adventure, Fantasy, Fighting, Miniatures",2.7152
351,206941/first-class,First Class,1,4,60,60,60,7.61732,6.98594,2530,https://cf.geekdo-images.com/images/pic3539689.jpg,10,"Card Drafting, Route/Network Building, Set Collection",3649,Trains,2.7353
352,31730/chicago-express,Chicago Express,2,6,60,60,60,7.23222,6.98342,6312,https://cf.geekdo-images.com/images/pic1566274.jpg,12,"Auction/Bidding, Route/Network Building, Stock Holding",6942,"Economic, Post-Napoleonic, Trains, Transportation",2.7927
353,209778/magic-maze,Magic Maze,1,8,15,3,15,7.37026,6.98293,4497,https://cf.geekdo-images.com/images/pic3268473.jpg,8,"Co-operative Play, Grid Movement, Tile Placement, Variable Player Powers",7625,"Exploration, Fantasy, Humor, Maze, Party Game, Real-time",1.7463
354,158600/hanamikoji,Hanamikoji,2,2,15,15,15,7.55731,6.98246,2813,https://cf.geekdo-images.com/images/pic2992529.jpg,10,"Area Control / Area Influence, Card Drafting, Hand Management",5374,"Card Game, Medieval",1.7258
355,58281/summoner-wars,Summoner Wars,2,4,60,30,60,7.31824,6.98224,5333,https://cf.geekdo-images.com/images/pic2407328.jpg,9,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Take That, Variable Player Powers",4981,"Card Game, Fantasy, Fighting",2.3031
356,586/front,Up Front,2,3,60,60,60,7.84214,6.98159,1941,https://cf.geekdo-images.com/images/pic162086.jpg,12,"Campaign / Battle Card Driven, Hand Management, Simulation, Variable Player Powers",3226,"Card Game, Wargame, World War II",3.3846
357,111341/great-zimbabwe,The Great Zimbabwe,2,5,150,90,150,7.74508,6.98013,2009,https://cf.geekdo-images.com/images/pic1400856.jpg,14,"Auction/Bidding, Card Drafting, Modular Board, Route/Network Building, Tile Placement, Variable Player Powers",2808,"Civilization, Economic, Industry / Manufacturing, Transportation",3.719
358,121408/trains,Trains,2,4,45,45,45,7.23044,6.97852,6360,https://cf.geekdo-images.com/images/pic1606346.jpg,12,"Deck / Pool Building, Hand Management, Route/Network Building",8517,"Card Game, Territory Building, Trains",2.3934
359,47/chinatown,Chinatown,3,5,60,60,60,7.23932,6.97695,6269,https://cf.geekdo-images.com/images/pic2037509.png,12,"Set Collection, Tile Placement, Trading",7350,"City Building, Economic, Negotiation",2.2957
360,18098/napoleons-triumph,Napoleon's Triumph,2,2,180,180,180,7.98428,6.97542,1567,https://cf.geekdo-images.com/images/pic291050.jpg,12,"Area Movement, Secret Unit Deployment, Simulation",2683,"Napoleonic, Wargame",3.612
361,131357/coup,Coup,2,6,15,15,15,7.08788,6.97398,24125,https://cf.geekdo-images.com/images/pic2016054.jpg,9,"Memory, Player Elimination, Take That, Variable Player Powers",39006,"Bluffing, Card Game, Deduction, Party Game, Political",1.4327
362,167400/ashes-rise-phoenixborn,Ashes: Rise of the Phoenixborn,2,4,120,30,120,7.51512,6.97225,3583,https://cf.geekdo-images.com/images/pic2479679.jpg,14,"Dice Rolling, Hand Management, Variable Player Powers",6637,"Card Game, Dice, Fantasy, Fighting",2.8846
363,143519/quantum,Quantum,2,4,60,60,60,7.33121,6.97126,4784,https://cf.geekdo-images.com/images/pic1727619.jpg,13,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",6037,"Dice, Fighting, Science Fiction, Space Exploration",2.4645
364,166384/spyfall,Spyfall,3,8,15,15,15,7.10834,6.97013,12567,https://cf.geekdo-images.com/images/pic2453926.jpg,12,"Role Playing, Voting",18541,"Bluffing, Deduction, Humor, Party Game, Spies/Secret Agents",1.2775
365,11/bohnanza,Bohnanza,2,7,45,45,45,7.05927,6.96914,30420,https://cf.geekdo-images.com/images/pic69366.jpg,13,"Hand Management, Set Collection, Trading",43174,"Card Game, Farming, Negotiation",1.6775
366,163166/one-night-ultimate-werewolf-daybreak,One Night Ultimate Werewolf Daybreak,3,7,10,10,10,7.50568,6.96864,3153,https://cf.geekdo-images.com/images/pic2225958.jpg,8,"Role Playing, Variable Player Powers, Voting",7811,"Bluffing, Card Game, Deduction, Horror, Party Game",1.4714
367,135219/battle-five-armies,The Battle of Five Armies,2,2,240,90,240,7.95612,6.96738,1662,https://cf.geekdo-images.com/images/pic1886964.jpg,13,"Area Movement, Dice Rolling, Hand Management",4052,"Adventure, Fantasy, Fighting, Miniatures, Novel-based, Wargame",3.5192
368,24800/conflict-heroes-awakening-bear-russia-1941-42,Conflict of Heroes: Awakening the Bear! ? Russia 1941-42,1,4,120,120,120,7.56088,6.96635,2846,https://cf.geekdo-images.com/images/pic2674714.jpg,10,"Action Point Allowance System, Dice Rolling, Hex-and-Counter, Modular Board, Simulation",3717,"Wargame, World War II",2.9957
369,128780/pax-porfiriana,Pax Porfiriana,1,6,120,120,120,7.69196,6.9659,2159,https://cf.geekdo-images.com/images/pic1395308.jpg,12,"Card Drafting, Simulation",3622,"Card Game, Civil War, Economic, Political, Post-Napoleonic, Wargame",3.466
370,30869/thebes,Thebes,2,4,60,60,60,7.17319,6.96503,8018,https://cf.geekdo-images.com/images/pic2723204.jpg,8,"Point to Point Movement, Time Track",9403,"Ancient, Exploration, Travel",2.1636
371,1353/times,Time's Up!,4,18,90,90,90,7.34153,6.96403,4131,https://cf.geekdo-images.com/images/pic3690440.jpg,12,"Acting, Memory, Partnerships",4150,"Humor, Party Game",1.22
372,151022/baseball-highlights-2045,Baseball Highlights: 2045,1,4,45,45,45,7.64769,6.9627,2330,https://cf.geekdo-images.com/images/pic2262580.png,9,"Deck / Pool Building, Hand Management, Take That",2925,"Card Game, Science Fiction, Sports",2.1531
373,372/schotten-totten,Schotten Totten,2,2,20,20,20,7.31075,6.96134,4501,https://cf.geekdo-images.com/images/pic2932872.jpg,8,"Hand Management, Set Collection",6472,"Card Game, Deduction",1.7229
374,36235/duke,The Duke,2,2,30,30,30,7.5205,6.96124,2972,https://cf.geekdo-images.com/images/pic1688903.jpg,13,"Grid Movement, Tile Placement",5228,"Abstract Strategy, Medieval",2.5455
375,26997/1989-dawn-freedom,1989: Dawn of Freedom,2,2,150,150,150,7.87229,6.9602,1697,https://cf.geekdo-images.com/images/pic1278138.jpg,12,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management",3013,Political,3.2792
376,155624/specter-ops,Specter Ops,2,5,90,60,90,7.35968,6.95894,4087,https://cf.geekdo-images.com/images/pic2486481.jpg,13,"Dice Rolling, Grid Movement, Partnerships, Point to Point Movement, Secret Unit Deployment, Variable Player Powers",6931,"Deduction, Fighting, Miniatures, Science Fiction, Spies/Secret Agents",2.3942
377,79127/star-trek-fleet-captains,Star Trek: Fleet Captains,2,4,75,75,75,7.57191,6.9583,2851,https://cf.geekdo-images.com/images/pic1081488.jpg,14,"Action Point Allowance System, Dice Rolling, Modular Board, Tile Placement",4565,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Space Exploration",3.0502
378,153938/camel,Camel Up,2,8,30,20,30,7.09816,6.95751,14821,https://cf.geekdo-images.com/images/pic2031446.png,8,"Betting/Wagering, Dice Rolling, Roll / Spin and Move",19618,"Animals, Dice, Racing",1.4868
379,183251/karuba,Karuba,2,4,40,30,40,7.2926,6.95693,4878,https://cf.geekdo-images.com/images/pic2727088.jpg,8,"Simultaneous Action Selection, Tile Placement",6939,Puzzle,1.5046
380,150997/shadows-brimstone-swamps-death,Shadows of Brimstone: Swamps of Death,1,4,60,60,60,8.0889,6.95571,1652,https://cf.geekdo-images.com/images/pic2037826.jpg,12,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Role Playing, Variable Player Powers",4213,"Adventure, American West, Dice, Exploration, Horror, Miniatures",3.3867
381,9823/advanced-squad-leader-starter-kit-1,Advanced Squad Leader: Starter Kit #1,2,2,120,120,120,7.79839,6.95318,2030,https://cf.geekdo-images.com/images/pic40772.jpg,13,"Dice Rolling, Hex-and-Counter",4310,"Wargame, World War II",3.7284
382,199478/flamme-rouge,Flamme Rouge,2,4,45,30,45,7.57873,6.95117,2694,https://cf.geekdo-images.com/images/pic3482521.jpg,8,"Hand Management, Modular Board, Simulation, Simultaneous Action Selection",3855,"Card Game, Racing, Sports",1.8448
383,113997/tajemnicze-domostwo,Tajemnicze Domostwo,2,7,60,30,60,7.34072,6.94986,4114,https://cf.geekdo-images.com/images/pic2601636.jpg,8,"Co-operative Play, Hand Management",4014,"Deduction, Murder/Mystery",1.8708
384,4390/carcassonne-hunters-and-gatherers,Carcassonne: Hunters and Gatherers,2,5,45,30,45,7.14063,6.94909,9870,https://cf.geekdo-images.com/images/pic2428656.png,8,"Area Control / Area Influence, Tile Placement",12246,Prehistoric,1.9206
385,42215/tobago,Tobago,2,4,60,60,60,7.1301,6.94895,8757,https://cf.geekdo-images.com/images/pic596625.jpg,13,"Grid Movement, Hand Management, Modular Board, Press Your Luck",9801,"Adventure, Exploration",2.1213
386,20963/fury-dracula-second-edition,Fury of Dracula (second edition),2,5,180,180,180,7.17738,6.94747,8391,https://cf.geekdo-images.com/images/pic1586916.jpg,10,"Dice Rolling, Partnerships, Point to Point Movement, Secret Unit Deployment, Variable Player Powers",9039,"Adventure, Deduction, Fighting, Horror, Novel-based",2.9462
387,70512/luna,Luna,1,4,100,60,100,7.37146,6.9458,3523,https://cf.geekdo-images.com/images/pic2538939.png,12,"Area Control / Area Influence, Modular Board, Point to Point Movement, Tile Placement, Worker Placement",4473,"Fantasy, Religious",3.3371
388,194594/dice-forge,Dice Forge,2,4,40,40,40,7.42916,6.94544,3647,https://cf.geekdo-images.com/images/pic3477004.jpg,10,"Deck / Pool Building, Dice Rolling",6236,"Ancient, Dice, Fantasy",1.8736
389,144189/fire-lake,Fire in the Lake,1,4,180,180,180,8.05631,6.94499,1463,https://cf.geekdo-images.com/images/pic2083738.png,0,"Area Control / Area Influence, Variable Phase Order, Variable Player Powers",3358,"Modern Warfare, Political, Vietnam War, Wargame",3.9897
390,160495/zhanguo,ZhanGuo,2,4,120,60,120,7.65887,6.94272,2161,https://cf.geekdo-images.com/images/pic2242246.jpg,12,"Area Control / Area Influence, Hand Management",3257,"Ancient, Card Game",3.7914
391,6249/alhambra,Alhambra,2,6,60,45,60,7.03511,6.94172,22813,https://cf.geekdo-images.com/images/pic1502118.jpg,8,"Card Drafting, Hand Management, Set Collection, Tile Placement",26826,"Arabian, City Building, Medieval",2.1166
392,126792/myrmes,Myrmes,2,4,120,60,120,7.33062,6.94134,4062,https://cf.geekdo-images.com/images/pic1370050.jpg,13,"Action Point Allowance System, Grid Movement, Route/Network Building, Worker Placement",5295,"Animals, Environmental, Farming",3.4286
393,12942/no-thanks,No Thanks!,3,7,30,20,30,7.04228,6.94081,15827,https://cf.geekdo-images.com/images/pic2602161.jpg,8,"Auction/Bidding, Press Your Luck, Set Collection",20798,Card Game,1.1497
394,137988/zombicide-season-2-prison-outbreak,Zombicide Season 2: Prison Outbreak,1,6,180,90,180,7.52811,6.94064,3226,https://cf.geekdo-images.com/images/pic1805937.jpg,13,"Action Point Allowance System, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Variable Player Powers",8128,"Horror, Miniatures, Zombies",2.7069
395,88/torres,Torres,2,4,60,60,60,7.17304,6.93859,7361,https://cf.geekdo-images.com/images/pic3515154.jpg,12,"Action Point Allowance System, Area Control / Area Influence, Area Enclosure, Grid Movement, Hand Management, Tile Placement",9253,"Abstract Strategy, Medieval",2.8834
396,160499/king-new-york,King of New York,2,6,40,40,40,7.1194,6.93735,9920,https://cf.geekdo-images.com/images/pic2407103.jpg,10,"Area Control / Area Influence, Area Movement, Card Drafting, Dice Rolling, Player Elimination, Press Your Luck",15829,"Dice, Fighting, Movies / TV / Radio theme, Science Fiction",1.8468
397,28023/jamaica,Jamaica,2,6,60,30,60,7.0916,6.93704,11859,https://cf.geekdo-images.com/images/pic1502119.jpg,8,"Dice Rolling, Hand Management, Simultaneous Action Selection",15872,"Nautical, Pirates, Racing, Transportation",1.6433
398,15364/vegas-showdown,Vegas Showdown,3,5,75,75,75,7.21256,6.93688,5592,https://cf.geekdo-images.com/images/pic1408325.jpg,12,"Auction/Bidding, Route/Network Building, Tile Placement",6405,Economic,2.3585
399,3201/lord-rings-confrontation,Lord of the Rings: The Confrontation,2,2,30,30,30,7.21453,6.93622,6011,https://cf.geekdo-images.com/images/pic69357.jpg,12,"Area Movement, Hand Management, Memory, Secret Unit Deployment, Simultaneous Action Selection, Variable Player Powers",7023,"Adventure, Bluffing, Deduction, Fantasy, Movies / TV / Radio theme, Novel-based",2.192
400,91312/discworld-ankh-morpork,Discworld: Ankh-Morpork,2,4,60,60,60,7.19823,6.93591,7467,https://cf.geekdo-images.com/images/pic1062739.jpg,11,"Area Control / Area Influence, Dice Rolling, Hand Management, Take That, Variable Player Powers",9093,"City Building, Fantasy, Novel-based",2.2183
401,148575/marvel-dice-masters-avengers-vs-x-men,Marvel Dice Masters: Avengers vs. X-Men,2,2,60,60,60,7.27738,6.93561,4977,https://cf.geekdo-images.com/images/pic1997078.jpg,14,"Deck / Pool Building, Dice Rolling, Variable Player Powers",9239,"Collectible Components, Comic Book / Strip, Dice, Fighting",2.2887
402,169426/roll-player,Roll Player,1,4,90,60,90,7.5658,6.93486,2532,https://cf.geekdo-images.com/images/pic2556921.jpg,10,"Card Drafting, Dice Rolling, Set Collection, Variable Player Powers",4106,"Dice, Fantasy",2.3137
403,30380/cuba,Cuba,2,5,120,75,120,7.1676,6.93424,7182,https://cf.geekdo-images.com/images/pic1205385.jpg,10,"Auction/Bidding, Hand Management, Variable Phase Order, Voting",7440,"Economic, Farming",3.2736
404,21763/mr-jack,Mr. Jack,2,2,30,30,30,7.07491,6.9333,12556,https://cf.geekdo-images.com/images/pic3066125.jpg,9,"Grid Movement, Variable Player Powers",14985,"Deduction, Murder/Mystery",2.189
405,113294/escape-curse-temple,Escape: The Curse of the Temple,1,5,10,10,10,7.07496,6.93274,12675,https://cf.geekdo-images.com/images/pic3328521.jpg,8,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Tile Placement",16425,"Adventure, Dice, Electronic, Exploration, Real-time",1.4773
406,172308/broom-service,Broom Service,2,5,75,30,75,7.26363,6.93228,4656,https://cf.geekdo-images.com/images/pic2546156.jpg,10,"Pick-up and Deliver, Press Your Luck, Simultaneous Action Selection",7910,"Card Game, Fantasy",2.4034
407,194607/mystic-vale,Mystic Vale,2,4,45,45,45,7.31209,6.9308,4457,https://cf.geekdo-images.com/images/pic3287905.png,14,"Deck / Pool Building, Press Your Luck",6979,"Card Game, Fantasy",2.3
408,24508/taluva,Taluva,2,4,45,45,45,7.18729,6.93017,6411,https://cf.geekdo-images.com/images/pic1948254.png,8,"Modular Board, Tile Placement",6461,"City Building, Territory Building",2.277
409,10547/betrayal-house-hill,Betrayal at House on the Hill,3,6,60,60,60,7.11727,6.92973,25385,https://cf.geekdo-images.com/images/pic828598.jpg,12,"Co-operative Play, Dice Rolling, Modular Board, Partnerships, Player Elimination, Role Playing, Storytelling, Variable Player Powers",37916,"Adventure, Exploration, Horror, Miniatures",2.3648
410,28181/combat-commander-pacific,Combat Commander: Pacific,2,2,180,180,180,8.08657,6.9297,1279,https://cf.geekdo-images.com/images/pic411649.jpg,12,"Campaign / Battle Card Driven, Hex-and-Counter, Simulation, Variable Phase Order",2533,"Wargame, World War II",3.2092
411,174785/mare-nostrum-empires,Mare Nostrum: Empires,3,5,120,90,120,7.70386,6.92662,2116,https://cf.geekdo-images.com/images/pic2648963.jpg,14,"Area Control / Area Influence, Dice Rolling, Set Collection, Trading, Variable Player Powers",4146,"Ancient, Civilization, Economic, Mythology, Wargame",3
412,162007/steampunk-rally,Steampunk Rally,2,8,60,45,60,7.36,6.92505,3762,https://cf.geekdo-images.com/images/pic2073821.jpg,14,"Card Drafting, Dice Rolling, Modular Board, Simultaneous Action Selection, Variable Player Powers",5909,"Racing, Science Fiction",2.5192
413,171/chess,Chess,2,2,60,60,60,7.08996,6.92431,21824,https://cf.geekdo-images.com/images/pic260745.jpg,6,Grid Movement,29209,Abstract Strategy,3.7513
414,2163/space-hulk,Space Hulk,2,4,45,45,45,7.46419,6.92327,3294,https://cf.geekdo-images.com/images/pic1411446.jpg,12,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board",3426,"Fighting, Miniatures, Science Fiction",2.5064
415,38996/washingtons-war,Washington's War,2,2,90,90,90,7.66716,6.92226,2024,https://cf.geekdo-images.com/images/pic655136.jpg,0,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Variable Player Powers",3844,"Age of Reason, American Revolutionary War, Wargame",2.8348
416,110277/among-stars,Among the Stars,2,4,30,30,30,7.19549,6.92213,5544,https://cf.geekdo-images.com/images/pic2037906.jpg,12,"Card Drafting, Simultaneous Action Selection, Tile Placement, Variable Player Powers",7885,"Card Game, City Building, Science Fiction",2.2325
417,68425/eminent-domain,Eminent Domain,2,4,45,45,45,7.11919,6.92099,7889,https://cf.geekdo-images.com/images/pic1160506.jpg,10,"Card Drafting, Deck / Pool Building, Hand Management, Variable Phase Order",10773,"Card Game, Civilization, Science Fiction, Space Exploration",2.503
418,156009/port-royal,Port Royal,2,5,50,20,50,7.16483,6.9206,6928,https://cf.geekdo-images.com/images/pic1949286.jpg,8,"Card Drafting, Press Your Luck, Set Collection",10641,"Card Game, Nautical, Pirates",1.5879
419,180974/potion-explosion,Potion Explosion,2,4,60,30,60,7.22566,6.91602,5583,https://cf.geekdo-images.com/images/pic2630294.png,8,"Pattern Recognition, Set Collection, Take That",8969,"Fantasy, Puzzle",1.7156
420,31563/middle-earth-quest,Middle-Earth Quest,2,4,180,180,180,7.38357,6.91593,3544,https://cf.geekdo-images.com/images/pic717059.jpg,13,"Hand Management, Partnerships, Point to Point Movement, Variable Player Powers",5464,"Adventure, Exploration, Fantasy, Novel-based",3.5289
421,130960/triumph-tragedy,Triumph & Tragedy,2,3,240,240,240,8.34049,6.91439,1126,https://cf.geekdo-images.com/images/pic2497742.jpg,12,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Secret Unit Deployment",2110,"Economic, Negotiation, Political, Territory Building, Wargame, World War II",3.2455
422,82421/summoner-wars-phoenix-elves-vs-tundra-orcs,Summoner Wars: Phoenix Elves vs Tundra Orcs,2,4,30,30,30,7.5901,6.91417,2299,https://cf.geekdo-images.com/images/pic1222742.jpg,9,"Dice Rolling, Grid Movement, Hand Management, Variable Player Powers",5190,"Card Game, Fantasy, Fighting",2.2949
423,233371/clank-space,Clank! In! Space!,2,4,60,60,60,8.07881,6.91023,1395,https://cf.geekdo-images.com/images/pic3720843.jpg,13,"Action / Movement Programming, Card Drafting, Deck / Pool Building, Modular Board, Press Your Luck",3101,Science Fiction,2.75
424,55600/shipyard,Shipyard,2,4,120,120,120,7.38342,6.90956,3130,https://cf.geekdo-images.com/images/pic1809442.jpg,11,"Card Drafting, Modular Board, Set Collection, Tile Placement, Worker Placement",3967,"Economic, Industry / Manufacturing, Nautical",3.4794
425,37904/formula-d,Formula D,2,10,60,60,60,7.05235,6.90939,13321,https://cf.geekdo-images.com/images/pic519914.jpg,8,"Dice Rolling, Grid Movement, Player Elimination, Press Your Luck, Roll / Spin and Move, Simulation",17841,"Racing, Sports",1.9971
426,103886/star-wars-card-game,Star Wars: The Card Game,2,2,60,60,60,7.3146,6.90834,4558,https://cf.geekdo-images.com/images/pic1474141.jpg,10,"Hand Management, Variable Player Powers",8589,"Card Game, Collectible Components, Movies / TV / Radio theme, Science Fiction",2.9455
