rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
3689,5306/harrys-grand-slam-baseball-game,Harry's Grand Slam Baseball Game,2,4,20,20,20,6.31798,5.72657,393,https://cf.geekdo-images.com/images/pic21582.jpg,8,"Hand Management, Simulation",509,"Card Game, Sports",1.1094
3690,29379/ici-cest-la-france-algerian-war-independence-1954,"Ici, c'est la France! The Algerian War of Independence 1954 - 1962",2,2,300,300,300,7.80219,5.72655,137,https://cf.geekdo-images.com/images/pic2216140.jpg,12,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Chit-Pull System",430,"Modern Warfare, Political, Wargame",2.7273
3691,144525/dungeon-twister-card-game,Dungeon Twister: The Card Game,2,2,60,15,60,6.40968,5.72622,377,https://cf.geekdo-images.com/images/pic1702457.jpg,13,"Hand Management, Modular Board",1611,"Card Game, Exploration, Fantasy, Fighting, Maze",2.9048
3692,6202/rise-roman-republic,The Rise of the Roman Republic,2,3,240,240,240,6.87926,5.72605,217,https://cf.geekdo-images.com/images/pic1918101.jpg,0,"Chit-Pull System, Hex-and-Counter, Simulation",716,"Ancient, Wargame",3.8136
3693,132620/gobbit,Gobbit,2,8,20,10,20,6.59156,5.7259,314,https://cf.geekdo-images.com/images/pic3033828.jpg,6,"Pattern Recognition, Player Elimination",563,"Action / Dexterity, Animals, Card Game, Party Game",1.3333
3694,90190/secret-monte-cristo,The Secret of Monte Cristo,2,4,60,60,60,6.20208,5.72585,525,https://cf.geekdo-images.com/images/pic899476.jpg,8,"Action Point Allowance System, Area Control / Area Influence, Variable Phase Order",973,"Exploration, Novel-based",2.3846
3695,9615/station-master,Station Master,2,6,60,30,60,6.16485,5.72581,545,https://cf.geekdo-images.com/images/pic49425.jpg,10,"Betting/Wagering, Commodity Speculation, Hand Management",757,"Card Game, Trains",1.5479
3696,178896/last-blitzkrieg,Last Blitzkrieg,2,4,960,180,960,8.69082,5.72571,98,https://cf.geekdo-images.com/images/pic3387407.jpg,13,"Dice Rolling, Hex-and-Counter, Simulation",470,"Wargame, World War II",3.6667
3697,2611/hellgame,The HellGame,2,6,180,180,180,6.56488,5.72569,330,https://cf.geekdo-images.com/images/pic785146.jpg,12,Variable Player Powers,529,"Dice, Fantasy, Horror, Medieval, Negotiation, Renaissance",3.6667
3698,142085/promised-land-1250-587-bc,Promised Land: 1250-587 BC,2,6,150,150,150,7.00111,5.72568,198,https://cf.geekdo-images.com/images/pic1653478.jpg,12,"Area Control / Area Influence, Partnerships",438,"Ancient, Economic, Fighting, Religious",3.087
3699,99437/rumble-house,Rumble in the House,3,6,20,20,20,6.12882,5.72566,625,https://cf.geekdo-images.com/images/pic3120549.png,8,"Grid Movement, Modular Board, Secret Unit Deployment",1053,"Bluffing, Deduction, Fighting, Humor, Party Game",1.0526
3700,458/sherlock-holmes-card-game,Sherlock Holmes: The Card Game,3,8,60,60,60,6.28221,5.72564,439,https://cf.geekdo-images.com/images/pic12122.jpg,10,none,866,"Card Game, Murder/Mystery, Novel-based",1.4694
3701,56320/spearpoint-1943,Spearpoint 1943,2,2,30,30,30,6.89683,5.72561,221,https://cf.geekdo-images.com/images/pic557180.jpg,13,"Card Drafting, Dice Rolling, Hand Management, Secret Unit Deployment, Simultaneous Action Selection",511,"Card Game, Dice, Wargame, World War II",1.9062
3702,1644/tipp-kick,Tipp-Kick,2,2,10,10,10,6.44529,5.72556,331,https://cf.geekdo-images.com/images/pic63199.jpg,8,none,486,"Action / Dexterity, Miniatures, Movies / TV / Radio theme, Sports",1.075
3703,87/victory-blocks-war,Victory:  The Blocks of War,2,6,180,180,180,6.32861,5.72537,406,https://cf.geekdo-images.com/images/pic2402729.jpg,12,"Dice Rolling, Hex-and-Counter, Secret Unit Deployment",771,"Wargame, World War II",2.6154
