,names,score,boolean
229,antiquity,0.318368,True
230,sheriff of nottingham,0.36093,True
231,tiny epic galaxies,0.327916,True
232,a few acres of snow,0.371928,True
233,at the gates of loyang,0.387588,True
234,blood bowl: team manager ? the card game,0.304802,True
235,century: spice road,0.462274,True
236,macao,0.39146,True
237,quadropolis,0.321734,True
238,1775: rebellion,0.441498,True
239,blood bowl (third edition),0.265184,False
240,lancaster,0.306214,True
241,fresco,0.353426,True
242,maria,0.36564,True
243,battlelore,0.136248,False
244,nippon,0.417936,True
245,star wars: x-wing miniatures game ? the force awakens core set,0.197348,False
246,bruxelles 1893,0.377296,True
247,mansions of madness,0.147636,False
248,lord of the rings: the confrontation,0.393848,True
249,one night ultimate werewolf,0.328934,True
250,flash point: fire rescue,0.207404,False
251,glen more,0.293338,True
252,pandemic: the cure,0.280398,False
253,exit: the game ? the abandoned cabin,0.395804,True
254,evolution: climate,0.342264,True
255,amun-re,0.383068,True
256,london,0.436736,True
257,earth reborn,0.326178,True
258,forbidden desert,0.272048,False
259,sentinels of the multiverse,0.202174,False
260,for sale,0.423246,True
261,51st state: master set,0.236842,False
262,roads and boats,0.355668,True
263,descent: journeys in the dark,0.2829,True
264,kingsburg,0.385654,True
265,heroscape master set: rise of the valkyrie,0.360368,True
266,amerigo,0.41987,True
267,shadows of brimstone: city of the ancients,0.339652,True
268,hanabi,0.33459,True
269,egizia,0.391102,True
270,small world underground,0.265838,False
271,catan,0.442336,True
272,pathfinder adventure card game: rise of the runelords ? base set,0.339894,True
273,archipelago,0.400624,True
274,spartacus: a game of blood and treachery,0.310776,True
275,firefly: the game,0.447478,True
276,innovation,0.30287,True
277,time's up! title recall!,0.388094,True
278,millennium blades,0.319478,True
279,star wars: destiny,0.298534,True
280,ethnos,0.440008,True
281,the grizzled,0.212746,False
282,san juan (second edition),0.337626,True
283,biblios,0.442702,True
284,"labyrinth: the war on terror, 2001 ? ?",0.140282,False
285,vinhos,0.423114,True
286,legends of andor,0.290608,True
287,tyrants of the underdark,0.382346,True
288,commands and colors: napoleonics,0.245892,False
289,airlines europe,0.313578,True
290,hammer of the scots,0.36718,True
291,stockpile,0.399174,True
292,libertalia,0.381,True
293,colt express,0.356552,True
294,a game of thrones: the card game (second edition),0.177148,False
295,lost cities,0.379284,True
296,thunderstone advance: towers of ruin,0.186918,False
297,deus,0.439502,True
298,paperback,0.164004,False
299,taj mahal,0.327292,True
300,friday,0.29717,True
301,this war of mine: the board game,0.246874,False
302,madeira,0.300146,True
303,freedom: the underground railroad,0.297542,True
304,vikings,0.402448,True
305,a game of thrones (first edition),0.246802,False
306,euphoria: build a better dystopia,0.25462,False
307,tales of the arabian nights,0.401514,True
308,elysium,0.303056,True
309,pandemic: reign of cthulhu,0.354082,True
310,ginkgopolis,0.44652,True
311,zombicide,0.190158,False
312,citadels,0.256812,False
313,automobile,0.224936,False
314,shadows over camelot,0.26369,False
315,pitchcar,0.340874,True
316,struggle of empires,0.3495,True
317,last will,0.420844,True
318,abyss,0.436538,True
319,carson city,0.423842,True
320,evolution,0.364646,True
321,ingenious,0.231628,False
322,wallenstein (first edition),0.287552,True
323,francis drake,0.275678,False
324,nexus ops,0.385684,True
325,harry potter: hogwarts battle,0.352264,True
326,roborally,0.132728,False
327,the colonists,0.42609,True
328,the republic of rome,0.216552,False
329,sushi go!,0.379508,True
330,starcraft: the board game,0.079516,False
331,gears of war: the board game,0.315424,True
332,tzaar,0.313974,True
333,cry havoc,0.183716,False
334,dvonn,0.326772,True
335,aquasphere,0.251716,False
336,too many bones,0.331098,True
337,thurn and taxis,0.420936,True
338,smash up: awesome level 9000,0.076672,False
339,conan,0.31408,True
340,snowdonia,0.364318,True
341,warhammer quest: the adventure card game,0.413186,True
342,lords of vegas,0.256584,False
343,imhotep,0.381898,True
344,colosseum,0.38008,True
345,raptor,0.351196,True
346,dixit: journey,0.37806,True
347,belfort,0.333732,True
348,arboretum,0.273066,False
349,defenders of the realm,0.311584,True
350,first class,0.27944,False
351,chicago express,0.454708,True
352,magic maze,0.253614,False
353,hanamikoji,0.394764,True
354,summoner wars,0.249826,False
355,up front,0.309712,True
356,the great zimbabwe,0.477784,True
357,trains,0.321976,True
358,chinatown,0.37617,True
359,napoleon's triumph,0.266534,False
360,coup,0.200272,False
361,ashes: rise of the phoenixborn,0.133966,False
362,quantum,0.31673,True
363,spyfall,0.26451,False
364,bohnanza,0.280964,False
365,one night ultimate werewolf daybreak,0.31868,True
366,the battle of five armies,0.184172,False
367,conflict of heroes: awakening the bear! ? russia 1941-42,0.361094,True
368,pax porfiriana,0.424652,True
369,thebes,0.290584,True
370,time's up!,0.314768,True
371,baseball highlights: 2045,0.437448,True
372,schotten totten,0.395182,True
373,the duke,0.346106,True
374,1989: dawn of freedom,0.170318,False
375,specter ops,0.426248,True
376,star trek: fleet captains,0.347326,True
377,camel up,0.408818,True
378,karuba,0.336394,True
379,shadows of brimstone: swamps of death,0.275994,False
380,advanced squad leader: starter kit #1,0.392014,True
381,flamme rouge,0.26554,False
382,tajemnicze domostwo,0.222278,False
383,carcassonne: hunters and gatherers,0.372062,True
384,tobago,0.558018,True
385,fury of dracula (second edition),0.164364,False
386,luna,0.430444,True
387,dice forge,0.32684,True
388,fire in the lake,0.155012,False
389,zhanguo,0.445222,True
390,alhambra,0.328858,True
391,myrmes,0.205598,False
392,no thanks!,0.359218,True
393,zombicide season 2: prison outbreak,0.101598,False
394,torres,0.240256,False
395,king of new york,0.353796,True
396,jamaica,0.395118,True
397,vegas showdown,0.299122,True
398,lord of the rings: the confrontation,0.393848,True
399,discworld: ankh-morpork,0.233478,False
400,marvel dice masters: avengers vs. x-men,0.28842,True
401,roll player,0.366346,True
402,cuba,0.29848,True
403,mr. jack,0.173248,False
404,escape: the curse of the temple,0.185508,False
405,broom service,0.27447,False
406,mystic vale,0.416954,True
407,taluva,0.39928,True
408,betrayal at house on the hill,0.250228,False
409,combat commander: pacific,0.18367,False
410,mare nostrum: empires,0.4313,True
411,steampunk rally,0.378298,True
412,chess,0.412876,True
413,space hulk,0.351214,True
414,washington's war,0.23299,False
415,among the stars,0.197602,False
416,eminent domain,0.371708,True
417,port royal,0.341266,True
418,potion explosion,0.276184,False
419,middle-earth quest,0.281216,False
420,triumph and tragedy,0.394456,True
421,summoner wars: phoenix elves vs tundra orcs,0.127126,False
422,clank! in! space!,0.411232,True
423,shipyard,0.332018,True
424,formula d,0.390418,True
425,star wars: the card game,0.099184,False
426,love letter: batman,0.505552,True
427,summoner wars: guild dwarves vs cave goblins,0.081638,False
428,vasco da gama,0.299068,True
429,shakespeare,0.32925,True
430,runebound (third edition),0.292868,True
431,yspahan,0.298474,True
432,legendary: villains ? a marvel deck building game,0.242036,False
433,tokaido,0.366258,True
434,age of industry,0.29292,True
435,sherlock holmes consulting detective: jack the ripper and west end adventures,0.208442,False
436,warhammer: invasion,0.141872,False
437,through the desert,0.264704,False
438,yedo,0.364144,True
439,space empires: 4x,0.402868,True
440,medici,0.31598,True
441,summoner wars: alliances master set,0.304518,True
442,world without end,0.163038,False
443,virgin queen,0.28777,True
444,barenpark,0.325468,True
445,the downfall of pompeii,0.370778,True
446,tinners' trail,0.310192,True
447,photosynthesis,0.386958,True
448,kingdom builder,0.380766,True
449,onirim (second edition),0.431628,True
450,k2,0.21629,False
451,conflict of heroes: awakening the bear! (second edition),0.331384,True
452,tash-kalar: arena of legends,0.300968,True
453,brew crafters,0.298898,True
454,dungeons and dragons: the legend of drizzt board game,0.294664,True
455,friedrich,0.437808,True
456,argent: the consortium,0.25664,False
457,smash up: science fiction double feature,0.100934,False
458,marvel dice masters: uncanny x-men,0.26473,False
459,bang! the dice game,0.392034,True
460,tribune: primus inter pares,0.272584,False
461,union pacific,0.372632,True
462,panamax,0.376348,True
463,squad leader,0.351742,True
464,elder sign,0.307358,True
465,skull,0.343578,True
466,d-day at omaha beach,0.270958,False
467,saint petersburg (second edition),0.39508,True
468,zertz,0.257252,False
469,xcom: the board game,0.197036,False
470,heroscape master set: swarm of the marro,0.33095,True
471,spyrium,0.351054,True
472,coal baron,0.331462,True
473,reef encounter,0.360564,True
474,empires: age of discovery,0.270674,False
475,homesteaders,0.29487,True
476,coloretto,0.391182,True
477,cuba libre,0.326436,True
478,between two cities,0.399392,True
479,bridge,0.376134,True
480,jambo,0.320532,True
481,the godfather: corleone's empire,0.343528,True
482,ca$h 'n guns (second edition),0.384802,True
483,tragedy looper,0.105498,False
484,genoa,0.302996,True
485,las vegas,0.416414,True
486,blue moon city,0.310342,True
487,carcassonne: the castle,0.425046,True
488,maharaja: the game of palace building in india,0.287376,True
489,polis: fight for the hegemony,0.228918,False
490,ascension: deckbuilding game,0.297526,True
491,carcassonne: the city,0.295472,True
492,web of power,0.202752,False
493,diplomacy,0.076088,False
494,monikers,0.301488,True
495,core worlds,0.327462,True
496,super motherload,0.349646,True
497,wits and wagers,0.348042,True
498,san marco,0.360032,True
499,churchill,0.527368,True
500,vast: the crystal caverns,0.20517,False
501,cacao,0.403764,True
502,ascension: storm of souls,0.241088,False
503,legacy: the testament of duke de crecy,0.170622,False
504,santiago,0.291352,True
505,hyperborea,0.284024,True
506,flick 'em up!,0.27566,False
507,mexica,0.351146,True
508,lords of xidit,0.346606,True
509,louis xiv,0.284386,True
510,hawaii,0.419744,True
511,blokus,0.225932,False
512,the oracle of delphi,0.234858,False
513,thunderstone: dragonspire,0.23064,False
514,dungeons and dragons: wrath of ashardalon board game,0.37451,True
515,scoville,0.294088,True
516,thunderstone,0.221932,False
517,space hulk: death angel ? the card game,0.160548,False
518,last night on earth: the zombie game,0.137864,False
519,thunder alley,0.44452,True
520,co?,0.342364,True
521,the palaces of carrara,0.36815,True
522,finca,0.360948,True
523,arcadia quest: inferno,0.08006,False
524,britannia,0.265974,False
525,red7,0.409166,True
526,star wars: the queen's gambit,0.14504,False
527,klask,0.463454,True
528,wir sind das volk!,0.323408,True
529,stronghold,0.172394,False
530,ascension: return of the fallen,0.206016,False
531,adrenaline,0.29754,True
532,kanagawa,0.439992,True
533,13 days: the cuban missile crisis,0.10124,False
534,battlecon: war of indines,0.391748,True
535,fuse,0.261174,False
536,junk art,0.395958,True
537,la citta,0.278512,False
538,deep sea adventure,0.408604,True
539,legendary encounters: a predator deck building game,0.139094,False
540,tiny epic quest,0.368452,True
541,the castles of burgundy: the card game,0.36792,True
542,the networks,0.348462,True
543,antike,0.22046,False
544,smash up: pretty pretty smash up,0.177786,False
545,blood bowl (2016 edition),0.395154,True
546,heroquest,0.296428,True
547,concept,0.395602,True
548,the quest for el dorado,0.361206,True
549,attika,0.4277,True
550,discoveries,0.370608,True
551,cribbage,0.39442,True
552,liar's dice,0.26596,False
553,netrunner,0.342722,True
554,wilderness war,0.164832,False
555,battles of westeros,0.216628,False
556,tammany hall,0.42627,True
557,smash up: monster smash,0.213614,False
558,merchant of venus (second edition),0.239566,False
559,tide of iron,0.178334,False
560,roll through the ages: the bronze age,0.365022,True
561,dream factory,0.262246,False
562,the others,0.263128,False
563,princes of the renaissance,0.295326,True
564,ricochet robots,0.288978,True
565,morels,0.289596,True
566,lanterns: the harvest festival,0.324846,True
567,telestrations: 12 player party pack,0.413342,True
568,formula de,0.2651,False
569,6 nimmt!,0.465044,True
570,conflict of heroes: storms of steel! ? kursk 1943,0.32566,True
571,container,0.330192,True
572,pictomania,0.229742,False
573,wiz-war (eighth edition),0.33937,True
574,celestia,0.448922,True
575,a study in emerald,0.269464,False
576,not alone,0.274278,False
577,forbidden island,0.390568,True
578,tumblin-dice,0.42923,True
579,vinci,0.382932,True
580,history of the world,0.275614,False
581,the speicherstadt,0.29764,True
582,"warhammer 40,000: conquest",0.220434,False
583,one deck dungeon,0.390944,True
584,mr. jack in new york,0.289924,True
585,akrotiri,0.320414,True
586,snow tails,0.315392,True
587,rex: final days of an empire,0.190568,False
588,zombicide season 3: rue morgue,0.092078,False
589,rhino hero,0.357882,True
590,mr. jack pocket,0.213678,False
591,zooloretto,0.185186,False
592,yamatai,0.359472,True
593,shadowrun: crossfire,0.279868,False
594,valeria: card kingdoms,0.31165,True
595,dungeons and dragons: castle ravenloft board game,0.353158,True
596,battle cry,0.204118,False
597,manila,0.269862,False
598,level 7 [omega protocol],0.271754,False
599,diamant,0.302304,True
600,ninjato,0.404446,True
601,fabled fruit,0.337074,True
602,smash up,0.262128,False
603,mahjong,0.365402,True
604,space hulk (fourth edition),0.352466,True
605,1812: the invasion of canada,0.373596,True
606,1846: the race for the midwest,0.429136,True
607,automobiles,0.379866,True
608,terror in meeple city,0.314892,True
609,valley of the kings,0.36497,True
610,can't stop,0.438538,True
611,china,0.40466,True
612,arkwright,0.377586,True
613,signorie,0.378068,True
614,the big book of madness,0.279214,False
615,sword and sorcery,0.221232,False
616,exit: the game ? the pharaoh's tomb,0.101448,False
617,metropolys,0.315062,True
618,vanuatu,0.288456,True
619,black fleet,0.331662,True
620,pathfinder adventure card game: skull and shackles ? base set,0.262214,False
621,manoeuvre,0.415436,True
622,leaving earth,0.379226,True
623,the rivals for catan,0.21236,False
624,love letter premium,0.40989,True
625,domaine,0.299066,True
626,loony quest,0.267948,False
627,cottage garden,0.36841,True
628,dogs of war,0.309584,True
629,exit: the game ? the secret lab,0.27951,False
630,fauna,0.25016,False
631,no retreat! the russian front,0.359946,True
632,planet steam,0.241008,False
633,warhammer quest,0.357334,True
634,eight-minute empire: legends,0.379888,True
635,yggdrasil,0.23671,False
636,oh my goods!,0.40604,True
637,diamonds,0.453794,True
638,qwirkle,0.358262,True
639,witness,0.304816,True
640,railroad revolution,0.451816,True
641,islebound,0.307246,True
642,peloponnes,0.274866,False
643,ultimate werewolf: ultimate edition,0.158634,False
644,caylus magna carta,0.340332,True
645,catacombs,0.389208,True
646,world's fair 1893,0.36829,True
647,keythedral,0.291588,True
648,mint works,0.26817,False
649,witch's brew,0.244112,False
650,primordial soup,0.35353,True
651,loopin' louie,0.295294,True
652,massive darkness,0.260996,False
653,tales and games: the hare and the tortoise,0.385944,True
654,steam park,0.239532,False
655,a distant plain,0.170412,False
656,ambush!,0.268704,False
657,"hey, that's my fish!",0.312476,True
658,rajas of the ganges,0.477,True
659,quarriors!,0.331578,True
660,nemo's war (second edition),0.28675,True
661,unfair,0.366324,True
662,hamburgum,0.374164,True
663,haggis,0.306104,True
664,power grid: factory manager,0.17258,False
665,eat poop you cat,0.455194,True
666,merchant of venus,0.300606,True
667,dinosaur island,0.08522,False
668,quartermaster general,0.403414,True
669,liberte,0.34333,True
670,winner's circle,0.412596,True
671,the pursuit of happiness,0.36644,True
672,fleet,0.323356,True
673,runebound (second edition),0.227574,False
674,guildhall,0.304712,True
675,viceroy,0.21882,False
676,a game of thrones: the card game,0.025812,False
677,ikusa,0.332794,True
678,wizard,0.294,True
679,risk: star wars edition,0.28843,True
680,parade,0.341236,True
681,qwixx,0.282818,True
682,hacienda,0.267066,False
683,trains: rising sun,0.288388,True
684,strasbourg,0.300046,True
685,gold west,0.462342,True
686,linko!,0.19426,False
687,lord of the rings,0.20463,False
688,for the people,0.192008,False
689,via nebula,0.270568,False
690,hansa,0.321714,True
691,thunderbolt apache leader,0.326756,True
692,rallyman,0.329976,True
693,julius caesar,0.29392,True
694,java,0.406896,True
695,heroes of normandie,0.214926,False
696,the bloody inn,0.392828,True
697,gipf,0.323328,True
698,zendo,0.416934,True
699,mythic battles: pantheon,0.333108,True
700,pax renaissance,0.35796,True
701,advanced squad leader: starter kit #2,0.238822,False
702,la isla,0.25568,False
703,arkadia,0.378096,True
704,dc comics deck-building game,0.274314,False
705,fortune and glory: the cliffhanger game,0.384046,True
706,star trek: ascendancy,0.362786,True
707,shadow hunters,0.279262,False
708,animal upon animal,0.296304,True
709,medina,0.238294,False
710,citadels,0.256812,False
711,machi koro,0.268538,False
712,mission: red planet,0.340372,True
713,dice town,0.33736,True
714,a touch of evil: the supernatural game,0.09583,False
715,the golden ages,0.443256,True
716,sons of anarchy: men of mayhem,0.138102,False
717,blueprints,0.374444,True
718,new york 1901,0.330014,True
719,the werewolves of miller's hollow,0.195182,False
720,andean abyss,0.25106,False
721,firenze,0.33945,True
722,empire of the sun,0.08699,False
723,caverna: cave vs cave,0.17115,False
724,outlive,0.196718,False
725,catan card game,0.23231,False
726,fairy tale,0.260734,False
727,dark moon,0.1773,False
728,two rooms and a boom,0.289194,True
729,carcassonne: south seas,0.256444,False
730,catacombs (third edition),0.077952,False
731,the new era,0.14591,False
732,colossal arena,0.225002,False
733,yomi,0.328048,True
734,fire and axe: a viking saga,0.249572,False
735,coconuts,0.268472,False
736,rialto,0.292448,True
737,nations: the dice game,0.468692,True
738,automania,0.38579,True
739,evo,0.367598,True
740,tournay,0.236742,False
741,ascending empires,0.309526,True
742,santiago de cuba,0.358,True
743,queendomino,0.305818,True
744,nothing personal,0.25517,False
745,mottainai,0.297264,True
746,cleopatra and the society of architects,0.354118,True
747,axis and allies anniversary edition,0.329214,True
748,dungeon twister,0.297918,True
749,patchistory,0.30666,True
750,honshu,0.26922,False
751,fief: france 1429,0.101036,False
752,medieval academy,0.356486,True
753,rattus,0.289096,True
754,rise of augustus,0.358728,True
755,smash up: it's your fault!,0.210986,False
756,high frontier,0.280596,False
757,blokus duo,0.38709,True
758,dungeon fighter,0.247536,False
759,de vulgari eloquentia,0.244008,False
760,wallenstein (second edition),0.292204,True
761,advanced squad leader: starter kit #3,0.285512,True
762,tsuro,0.326448,True
763,falling sky: the gallic revolt against caesar,0.238894,False
764,xenoshyft: onslaught,0.185616,False
765,mykerinos,0.234824,False
766,wings of war: famous aces,0.263766,False
767,mystery rummy: jack the ripper,0.344522,True
768,dc comics dice masters: justice league,0.187042,False
769,sylvion,0.398116,True
770,fugitive,0.389938,True
771,carcassonne: winter edition,0.323954,True
772,amyitis,0.25435,False
773,lowenherz,0.186904,False
774,titan,0.327882,True
775,welcome to the dungeon,0.374354,True
776,meuterer,0.261128,False
777,kraftwagen,0.458328,True
778,asara,0.294794,True
779,elfenland,0.25458,False
780,doom: the boardgame,0.163372,False
781,cosmic encounter,0.175406,False
782,say anything,0.453702,True
783,condottiere,0.244062,False
784,hostage negotiator,0.238316,False
785,sticheln,0.200376,False
786,city of iron,0.25782,False
787,starship catan,0.204356,False
788,doomtown: reloaded,0.325894,True
789,le havre: the inland port,0.191456,False
790,ice cool,0.321872,True
791,star trek: catan,0.39098,True
792,fields of green,0.305714,True
793,merkator,0.311556,True
794,thunderbirds,0.329546,True
795,5-minute dungeon,0.376496,True
796,dale of merchants,0.19256,False
797,castle panic,0.28039,False
798,wyatt earp,0.343944,True
799,dungeons and dragons dice masters: battle for faerun,0.215112,False
800,wars of the roses: lancaster vs. york,0.285908,True
801,mu and more,0.2604,False
802,murano,0.295928,True
803,bausack,0.234776,False
804,ascension: immortal heroes,0.14901,False
805,in the shadow of the emperor,0.325132,True
806,aladdin's dragons,0.138032,False
807,downforce,0.494902,True
808,escape room: the game,0.14338,False
809,necromunda,0.320718,True
810,aton,0.335144,True
811,vikings gone wild,0.138214,False
812,sword of rome,0.320846,True
813,ubongo,0.131954,False
814,star trek: frontiers,0.280556,False
815,tides of time,0.30816,True
816,pixel tactics,0.22022,False
817,dream home,0.402078,True
818,the scepter of zavandor,0.218874,False
819,the prodigals club,0.32168,True
820,quarto,0.344942,True
821,warrior knights,0.27597,False
822,mega civilization,0.40605,True
823,starfarers of catan,0.259908,False
824,galaxy defenders,0.201686,False
825,kremlin,0.367496,True
826,axis and allies europe 1940,0.31671,True
827,room 25,0.27751,False
828,legend of the five rings: the card game,0.219012,False
829,ingenious: travel edition,0.355142,True
830,battletech,0.300884,True
831,roma,0.364378,True
832,cartagena,0.369814,True
833,d-day dice,0.23342,False
834,aquaretto,0.289736,True
835,puzzle strike (third edition),0.47525,True
836,saboteur,0.248476,False
837,gravwell: escape from the 9th dimension,0.229836,False
838,spot it!,0.260088,False
839,royals,0.383854,True
840,rise of empires,0.278742,False
841,dice city,0.266354,False
842,rune age,0.192552,False
843,factory fun,0.277544,False
844,1856: railroading in upper canada from 1856,0.273198,False
845,the magic labyrinth,0.229388,False
846,power struggle,0.18783,False
847,timeline: inventions,0.32185,True
848,europe engulfed,0.254646,False
849,high society,0.234214,False
850,liberty or death: the american insurrection,0.371484,True
851,medina (second edition),0.294008,True
